Linux 4.4.0-111-generic (ath-1) 	02/22/2018 	_x86_64_	(40 CPU)

09:31:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:32:00 PM  all    0.45    0.00    5.26    0.00    0.00    0.00    0.00    0.00    0.00   94.29
09:32:00 PM    0    2.02    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:32:00 PM    1    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
09:32:00 PM    2    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:32:00 PM    3    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:32:00 PM    4    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:32:00 PM    5    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:32:00 PM    6    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:32:00 PM    7    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:32:00 PM    8    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
09:32:00 PM    9    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:32:00 PM   10    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
09:32:00 PM   11    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:32:00 PM   12    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:32:00 PM   13    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:32:00 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:32:00 PM   15    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:32:00 PM   16    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07
09:32:00 PM   17    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
09:32:00 PM   18    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07
09:32:00 PM   19    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:32:00 PM   20    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:32:00 PM   21    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:32:00 PM   22    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:32:00 PM   23    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:32:00 PM   24    0.99    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   92.08
09:32:00 PM   25    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:32:00 PM   26    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
09:32:00 PM   27    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:32:00 PM   28    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:32:00 PM   29    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:32:00 PM   30    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:32:00 PM   31    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:32:00 PM   32    0.99    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   92.08
09:32:00 PM   33    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:32:00 PM   34    0.99    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   92.08
09:32:00 PM   35    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:32:00 PM   36    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:32:00 PM   37    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:32:00 PM   38    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07
09:32:00 PM   39    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00

09:32:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:32:01 PM  all    0.91    0.00    5.78    0.50    0.00    0.50    0.00    0.00    0.00   92.30
09:32:01 PM    0    1.01    0.00    6.06    0.00    0.00    1.01    0.00    0.00    0.00   91.92
09:32:01 PM    1    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
09:32:01 PM    2    1.03    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   92.78
09:32:01 PM    3    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
09:32:01 PM    4    0.00    0.00    7.22    0.00    0.00    4.12    0.00    0.00    0.00   88.66
09:32:01 PM    5    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:32:01 PM    6    0.99    0.00    9.90    0.00    0.00    0.00    0.00    0.00    0.00   89.11
09:32:01 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:32:01 PM    8    1.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
09:32:01 PM    9    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:32:01 PM   10    1.02    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   92.86
09:32:01 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:32:01 PM   12    1.03    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   92.78
09:32:01 PM   13    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
09:32:01 PM   14    1.02    0.00    6.12    0.00    0.00    2.04    0.00    0.00    0.00   90.82
09:32:01 PM   15    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:32:01 PM   16    3.06    0.00    7.14    0.00    0.00    7.14    0.00    0.00    0.00   82.65
09:32:01 PM   17    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:32:01 PM   18    2.04    0.00    8.16    0.00    0.00    4.08    0.00    0.00    0.00   85.71
09:32:01 PM   19    9.28    0.00    9.28   10.31    0.00    0.00    0.00    0.00    0.00   71.13
09:32:01 PM   20    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:32:01 PM   21    8.00    0.00   10.00   10.00    0.00    2.00    0.00    0.00    0.00   70.00
09:32:01 PM   22    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
09:32:01 PM   23    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:32:01 PM   24    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
09:32:01 PM   25    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:32:01 PM   26    1.01    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   92.93
09:32:01 PM   27    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:32:01 PM   28    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:32:01 PM   29    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:32:01 PM   30    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:32:01 PM   31    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   93.07
09:32:01 PM   32    0.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00    0.00   93.00
09:32:01 PM   33    0.99    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   92.08
