Linux 4.4.0-111-generic (ath-1) 	02/15/2018 	_x86_64_	(40 CPU)

09:50:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:50:04 AM  all    0.23    0.00    3.05    0.00    0.00    0.00    0.00    0.00    0.00   96.72
09:50:04 AM    0    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
09:50:04 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:50:04 AM    2    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:04 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:50:04 AM    4    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
09:50:04 AM    5    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
09:50:04 AM    6    0.99    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   94.06
09:50:04 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:50:04 AM    8    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:04 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:50:04 AM   10    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
09:50:04 AM   11    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:50:04 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:50:04 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:50:04 AM   14    0.99    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   95.05
09:50:04 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:50:04 AM   16    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:04 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:50:04 AM   18    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
09:50:04 AM   19    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:04 AM   20    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
09:50:04 AM   21    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:04 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:50:04 AM   23    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:04 AM   24    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:04 AM   25    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
09:50:04 AM   26    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
09:50:04 AM   27    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:04 AM   28    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
09:50:04 AM   29    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:04 AM   30    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:50:04 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:50:04 AM   32    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
09:50:04 AM   33    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
09:50:04 AM   34    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
09:50:04 AM   35    0.00    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   95.05
09:50:04 AM   36    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:04 AM   37    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:04 AM   38    0.99    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   95.05
09:50:04 AM   39    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00

09:50:04 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:50:05 AM  all    2.16    0.00    4.19    0.95    0.00    1.40    0.00    0.00    0.00   91.30
09:50:05 AM    0    4.95    0.00    5.94    0.00    0.00    1.98    0.00    0.00    0.00   87.13
09:50:05 AM    1    2.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:50:05 AM    2    3.96    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   89.11
09:50:05 AM    3    3.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
09:50:05 AM    4    3.96    0.00    7.92    0.00    0.00   11.88    0.00    0.00    0.00   76.24
09:50:05 AM    5    1.94    0.00    4.85    0.00    0.00    4.85    0.00    0.00    0.00   88.35
09:50:05 AM    6    1.04    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   92.71
09:50:05 AM    7    0.00    0.00    1.00    0.00    0.00    2.00    0.00    0.00    0.00   97.00
09:50:05 AM    8    1.02    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   92.86
09:50:05 AM    9    0.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   97.00
09:50:05 AM   10    2.02    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:50:05 AM   11    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:50:05 AM   12    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
09:50:05 AM   13    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
09:50:05 AM   14    3.06    0.00    8.16    0.00    0.00    6.12    0.00    0.00    0.00   82.65
09:50:05 AM   15    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:50:05 AM   16    4.00    0.00    5.00    0.00    0.00   10.00    0.00    0.00    0.00   81.00
09:50:05 AM   17   10.89    0.00    4.95   12.87    0.00    0.99    0.00    0.00    0.00   70.30
09:50:05 AM   18    2.04    0.00    8.16    0.00    0.00   10.20    0.00    0.00    0.00   79.59
09:50:05 AM   19    8.16    0.00    8.16   11.22    0.00    1.02    0.00    0.00    0.00   71.43
09:50:05 AM   20    0.99    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   94.06
09:50:05 AM   21    9.90    0.00    4.95   10.89    0.00    0.99    0.00    0.00    0.00   73.27
09:50:05 AM   22    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
09:50:05 AM   23    7.07    0.00    4.04    4.04    0.00    2.02    0.00    0.00    0.00   82.83
09:50:05 AM   24    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:05 AM   25    2.02    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   92.93
09:50:05 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:50:05 AM   27    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:50:05 AM   28    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
09:50:05 AM   29    0.00    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   94.06
09:50:05 AM   30    0.00    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   95.05
09:50:05 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:50:05 AM   32    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:05 AM   33    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:50:05 AM   34    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:50:05 AM   35    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:50:05 AM   36    0.99    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   95.05
09:50:05 AM   37    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
09:50:05 AM   38    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
09:50:05 AM   39    0.00    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   93.94

