Linux 4.4.0-111-generic (ath-1) 	02/22/2018 	_x86_64_	(40 CPU)

07:56:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:53 AM  all    0.10    0.00    4.51    0.00    0.00    0.00    0.00    0.00    0.00   95.39
07:56:53 AM    0    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
07:56:53 AM    1    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
07:56:53 AM    2    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
07:56:53 AM    3    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM    4    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:56:53 AM    5    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:56:53 AM    6    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
07:56:53 AM    7    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM    8    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
07:56:53 AM    9    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:53 AM   11    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM   12    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:56:53 AM   13    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
07:56:53 AM   14    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
07:56:53 AM   15    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07
07:56:53 AM   16    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM   17    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
07:56:53 AM   18    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:56:53 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:53 AM   20    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
07:56:53 AM   21    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM   22    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM   23    0.00    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   96.04
07:56:53 AM   24    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
07:56:53 AM   25    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:56:53 AM   26    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:56:53 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:53 AM   28    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM   29    0.99    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   94.06
07:56:53 AM   30    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM   31    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM   32    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:56:53 AM   33    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM   34    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM   35    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:56:53 AM   36    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM   37    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:56:53 AM   38    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:56:53 AM   39    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00

07:56:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:54 AM  all    2.28    0.00    4.60    0.33    0.00    1.57    0.00    0.00    0.00   91.23
07:56:54 AM    0    3.06    0.00    7.14    0.00    0.00    1.02    0.00    0.00    0.00   88.78
