Linux 4.4.0-111-generic (ath-1) 	02/23/2018 	_x86_64_	(40 CPU)

05:02:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:02:17 PM  all    0.35    0.00    5.07    0.00    0.00    0.00    0.00    0.00    0.00   94.58
05:02:17 PM    0    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
05:02:17 PM    1    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
05:02:17 PM    2    0.99    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   94.06
05:02:17 PM    3    0.99    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   92.08
05:02:17 PM    4    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:02:17 PM    5    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
05:02:17 PM    6    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:02:17 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:17 PM    8    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
05:02:17 PM    9    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
05:02:17 PM   10    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
05:02:17 PM   11    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:02:17 PM   12    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:02:17 PM   13    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:02:17 PM   14    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:02:17 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:02:17 PM   16    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
05:02:17 PM   17    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   93.07
05:02:17 PM   18    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
05:02:17 PM   19    0.00    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   96.91
05:02:17 PM   20    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:02:17 PM   21    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
05:02:17 PM   22    0.99    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   92.08
05:02:17 PM   23    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
05:02:17 PM   24    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07
05:02:17 PM   25    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
05:02:17 PM   26    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:02:17 PM   27    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
05:02:17 PM   28    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
05:02:17 PM   29    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:02:17 PM   30    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
05:02:17 PM   31    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
05:02:17 PM   32    0.99    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   92.08
05:02:17 PM   33    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
05:02:17 PM   34    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:02:17 PM   35    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
05:02:17 PM   36    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:02:17 PM   37    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:02:17 PM   38    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
05:02:17 PM   39    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07

05:02:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:02:18 PM  all    2.28    0.00    6.82    0.05    0.00    1.93    0.00    0.00    0.00   88.93
05:02:18 PM    0    1.03    0.00    8.25    0.00    0.00    1.03    0.00    0.00    0.00   89.69
05:02:18 PM    1    2.88    0.00    4.81    0.00    0.00    8.65    0.00    0.00    0.00   83.65
05:02:18 PM    2    3.00    0.00    7.00    0.00    0.00    3.00    0.00    0.00    0.00   87.00
05:02:18 PM    3    1.02    0.00    6.12    0.00    0.00    2.04    0.00    0.00    0.00   90.82
05:02:18 PM    4    3.03    0.00   10.10    0.00    0.00   13.13    0.00    0.00    0.00   73.74
05:02:18 PM    5    2.97    0.00    0.99    0.00    0.00    1.98    0.00    0.00    0.00   94.06
05:02:18 PM    6    3.09    0.00   12.37    0.00    0.00    1.03    0.00    0.00    0.00   83.51
05:02:18 PM    7    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:02:18 PM    8    1.04    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   92.71
05:02:18 PM    9    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
05:02:18 PM   10    1.01    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   94.95
05:02:18 PM   11    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:02:18 PM   12    1.01    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   95.96
05:02:18 PM   13    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:02:18 PM   14    6.93    0.00    9.90    0.00    0.00   12.87    0.00    0.00    0.00   70.30
05:02:18 PM   15    6.32    0.00    5.26    1.05    0.00    0.00    0.00    0.00    0.00   87.37
05:02:18 PM   16   12.00    0.00   14.00    0.00    0.00   13.00    0.00    0.00    0.00   61.00
05:02:18 PM   17    9.18    0.00   12.24    1.02    0.00    1.02    0.00    0.00    0.00   76.53
05:02:18 PM   18    9.18    0.00   11.22    0.00    0.00   13.27    0.00    0.00    0.00   66.33
05:02:18 PM   19   11.00    0.00   10.00    0.00    0.00    1.00    0.00    0.00    0.00   78.00
05:02:18 PM   20    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
05:02:18 PM   21    5.56    0.00   11.11    0.00    0.00    1.11    0.00    0.00    0.00   82.22
05:02:18 PM   22    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
05:02:18 PM   23    9.09    0.00   12.12    0.00    0.00    1.01    0.00    0.00    0.00   77.78
05:02:18 PM   24    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
05:02:18 PM   25    2.02    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:02:18 PM   26    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07
05:02:18 PM   27    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:02:18 PM   28    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:02:18 PM   29    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
05:02:18 PM   30    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:02:18 PM   31    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:02:18 PM   32    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:02:18 PM   33    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:02:18 PM   34    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:02:18 PM   35    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:02:18 PM   36    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:02:18 PM   37    1.01    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:02:18 PM   38    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
05:02:18 PM   39    1.02    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   92.86

05:02:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:02:19 PM  all    2.49    0.00    5.00    0.00    0.00    2.03    0.00    0.00    0.00   90.49
05:02:19 PM    0    5.10    0.00    6.12    0.00    0.00    2.04    0.00    0.00    0.00   86.73
05:02:19 PM    1    3.00    0.00    6.00    0.00    0.00    2.00    0.00    0.00    0.00   89.00
05:02:19 PM    2    1.96    0.00    6.86    0.00    0.00    6.86    0.00    0.00    0.00   84.31
05:02:19 PM    3    3.03    0.00    5.05    0.00    0.00    2.02    0.00    0.00    0.00   89.90
05:02:19 PM    4    4.90    0.00    2.94    0.00    0.00   15.69    0.00    0.00    0.00   76.47
05:02:19 PM    5    2.00    0.00    4.00    0.00    0.00    3.00    0.00    0.00    0.00   91.00
05:02:19 PM    6    3.06    0.00    7.14    0.00    0.00    2.04    0.00    0.00    0.00   87.76
05:02:19 PM    7    0.00    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   93.88
05:02:19 PM    8    1.04    0.00    5.21    0.00    0.00    1.04    0.00    0.00    0.00   92.71
05:02:19 PM    9    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
05:02:19 PM   10    0.00    0.00    3.12    0.00    0.00    1.04    0.00    0.00    0.00   95.83
05:02:19 PM   11    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
05:02:19 PM   12    2.04    0.00    5.10    0.00    0.00    2.04    0.00    0.00    0.00   90.82
05:02:19 PM   13    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:02:19 PM   14    2.06    0.00    4.12    0.00    0.00    9.28    0.00    0.00    0.00   84.54
05:02:19 PM   15    8.00    0.00    7.00    0.00    0.00    2.00    0.00    0.00    0.00   83.00
05:02:19 PM   16   12.87    0.00    6.93    0.00    0.00   12.87    0.00    0.00    0.00   67.33
05:02:19 PM   17    5.21    0.00   11.46    0.00    0.00    1.04    0.00    0.00    0.00   82.29
05:02:19 PM   18    5.56    0.00    5.56    0.00    0.00   11.11    0.00    0.00    0.00   77.78
05:02:19 PM   19    8.42    0.00    6.32    0.00    0.00    2.11    0.00    0.00    0.00   83.16
05:02:19 PM   20    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:02:19 PM   21   10.20    0.00    7.14    0.00    0.00    4.08    0.00    0.00    0.00   78.57
05:02:19 PM   22    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:02:19 PM   23    8.25    0.00    8.25    0.00    0.00    2.06    0.00    0.00    0.00   81.44
05:02:19 PM   24    0.00    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   95.88
05:02:19 PM   25    2.02    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   92.93
05:02:19 PM   26    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
05:02:19 PM   27    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:02:19 PM   28    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:02:19 PM   29    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
