Linux 4.4.0-111-generic (ath-1) 	02/22/2018 	_x86_64_	(40 CPU)

09:05:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:32 PM  all    0.35    0.00    5.28    0.15    0.00    0.00    0.00    0.00    0.00   94.22
09:05:32 PM    0    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:05:32 PM    1    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
09:05:32 PM    2    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
09:05:32 PM    3    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:05:32 PM    4    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:05:32 PM    5    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:05:32 PM    6    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:05:32 PM    7    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:05:32 PM    8    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:05:32 PM    9    0.99    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   94.06
09:05:32 PM   10    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   93.07
09:05:32 PM   11    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:05:32 PM   12    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:05:32 PM   13    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:05:32 PM   14    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
09:05:32 PM   15    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
09:05:32 PM   16    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:05:32 PM   17    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:05:32 PM   18    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:05:32 PM   19    2.94    0.00    8.82    4.90    0.00    0.00    0.00    0.00    0.00   83.33
09:05:32 PM   20    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:05:32 PM   21    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:05:32 PM   22    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:05:32 PM   23    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   93.07
09:05:32 PM   24    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:05:32 PM   25    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:05:32 PM   26    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:05:32 PM   27    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:05:32 PM   28    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:05:32 PM   29    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:05:32 PM   30    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:05:32 PM   31    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07
09:05:32 PM   32    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:05:32 PM   33    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:05:32 PM   34    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:05:32 PM   35    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:05:32 PM   36    0.98    0.00    6.86    0.00    0.00    0.00    0.00    0.00    0.00   92.16
09:05:32 PM   37    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
