Linux 4.4.0-111-generic (ath-1) 	02/22/2018 	_x86_64_	(40 CPU)

09:13:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:13:30 PM  all    0.43    0.00    5.46    0.00    0.00    0.03    0.00    0.00    0.00   94.09
09:13:30 PM    0    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
09:13:30 PM    1    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:13:30 PM    2    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:30 PM    3    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:30 PM    4    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:30 PM    5    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:30 PM    6    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:13:30 PM    7    0.99    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   94.06
09:13:30 PM    8    0.99    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   92.08
09:13:30 PM    9    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:13:30 PM   10    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:30 PM   11    1.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
09:13:30 PM   12    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:30 PM   13    2.02    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   92.93
09:13:30 PM   14    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07
09:13:30 PM   15    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:30 PM   16    0.98    0.00    4.90    0.00    0.00    0.00    0.00    0.00    0.00   94.12
09:13:30 PM   17    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:13:30 PM   18    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:13:30 PM   19    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:30 PM   20    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:13:30 PM   21    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:30 PM   22    0.99    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   92.08
09:13:30 PM   23    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:30 PM   24    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:13:30 PM   25    0.99    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   92.08
09:13:30 PM   26    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:13:30 PM   27    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
09:13:30 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:13:30 PM   29    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:30 PM   30    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:13:30 PM   31    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:13:30 PM   32    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:13:30 PM   33    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:30 PM   34    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:30 PM   35    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:30 PM   36    1.01    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   92.93
09:13:30 PM   37    1.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
09:13:30 PM   38    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:30 PM   39    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00

09:13:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:13:31 PM  all    0.10    0.00    5.20    0.00    0.00    0.00    0.00    0.00    0.00   94.69
09:13:31 PM    0    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:13:31 PM    1    1.01    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   92.93
09:13:31 PM    2    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:13:31 PM    3    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:13:31 PM    4    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:13:31 PM    5    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:31 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:13:31 PM    7    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
09:13:31 PM    8    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:31 PM    9    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:13:31 PM   10    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:13:31 PM   11    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:31 PM   12    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:13:31 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:13:31 PM   14    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
09:13:31 PM   15    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
09:13:31 PM   16    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:13:31 PM   17    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:31 PM   18    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:31 PM   19    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:31 PM   20    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:31 PM   21    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:31 PM   22    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:31 PM   23    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
09:13:31 PM   24    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:31 PM   25    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
09:13:31 PM   26    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:31 PM   27    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:13:31 PM   28    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
09:13:31 PM   29    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
