Linux 4.4.0-111-generic (ath-1) 	02/22/2018 	_x86_64_	(40 CPU)

10:03:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:03:27 PM  all    0.80    0.00    6.08    0.88    0.00    0.28    0.00    0.00    0.00   91.96
10:03:27 PM    0    1.00    0.00    7.00    0.00    0.00    1.00    0.00    0.00    0.00   91.00
10:03:27 PM    1    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
10:03:27 PM    2    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
10:03:27 PM    3    0.00    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   93.88
10:03:27 PM    4    1.03    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   96.91
10:03:27 PM    5    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
10:03:27 PM    6    0.99    0.00    9.90    0.00    0.00    0.00    0.00    0.00    0.00   89.11
10:03:27 PM    7    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
10:03:27 PM    8    1.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
10:03:27 PM    9    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
10:03:27 PM   10    1.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
10:03:27 PM   11    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
10:03:27 PM   12    2.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00    0.00   91.00
10:03:27 PM   13    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
10:03:27 PM   14    0.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   96.00
10:03:27 PM   15    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
10:03:27 PM   16    0.00    0.00    9.09    0.00    0.00    4.04    0.00    0.00    0.00   86.87
10:03:27 PM   17    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
10:03:27 PM   18    2.00    0.00    5.00    0.00    0.00    2.00    0.00    0.00    0.00   91.00
10:03:27 PM   19    5.10    0.00   10.20   15.31    0.00    0.00    0.00    0.00    0.00   69.39
10:03:27 PM   20    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
10:03:27 PM   21    8.91    0.00    5.94   18.81    0.00    0.00    0.00    0.00    0.00   66.34
10:03:27 PM   22    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
10:03:27 PM   23    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
10:03:27 PM   24    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
10:03:27 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:03:27 PM   26    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
10:03:27 PM   27    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
10:03:27 PM   28    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07
10:03:27 PM   29    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
10:03:27 PM   30    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
10:03:27 PM   31    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
10:03:27 PM   32    0.99    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   92.08
10:03:27 PM   33    1.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
10:03:27 PM   34    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
10:03:27 PM   35    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
10:03:27 PM   36    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
10:03:27 PM   37    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
10:03:27 PM   38    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
10:03:27 PM   39    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95

10:03:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:03:28 PM  all    3.02    0.00    4.65    0.00    0.00    2.03    0.00    0.00    0.00   90.30
10:03:28 PM    0    2.88    0.00    4.81    0.00    0.00    9.62    0.00    0.00    0.00   82.69
10:03:28 PM    1    1.04    0.00    4.17    0.00    0.00    2.08    0.00    0.00    0.00   92.71
10:03:28 PM    2    1.04    0.00    5.21    0.00    0.00    2.08    0.00    0.00    0.00   91.67
10:03:28 PM    3    5.10    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   91.84
10:03:28 PM    4    5.94    0.00    6.93    0.00    0.00   17.82    0.00    0.00    0.00   69.31
10:03:28 PM    5    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
10:03:28 PM    6    4.04    0.00    9.09    0.00    0.00    2.02    0.00    0.00    0.00   84.85
10:03:28 PM    7    0.00    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   97.98
10:03:28 PM    8    2.06    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   92.78
10:03:28 PM    9    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94
10:03:28 PM   10    0.00    0.00    5.21    0.00    0.00    1.04    0.00    0.00    0.00   93.75
10:03:28 PM   11    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92
10:03:28 PM   12    0.00    0.00    4.17    0.00    0.00    1.04    0.00    0.00    0.00   94.79
10:03:28 PM   13    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
10:03:28 PM   14    6.25    0.00    8.33    0.00    0.00   10.42    0.00    0.00    0.00   75.00
10:03:28 PM   15    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
10:03:28 PM   16   26.04    0.00   15.62    0.00    0.00   12.50    0.00    0.00    0.00   45.83
10:03:28 PM   17    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
10:03:28 PM   18    7.29    0.00    8.33    0.00    0.00   12.50    0.00    0.00    0.00   71.88
10:03:28 PM   19   25.51    0.00   19.39    0.00    0.00    2.04    0.00    0.00    0.00   53.06
10:03:28 PM   20    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
10:03:28 PM   21   26.32    0.00   15.79    0.00    0.00    4.21    0.00    0.00    0.00   53.68
10:03:28 PM   22    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
10:03:28 PM   23    3.09    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   92.78
10:03:28 PM   24    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
10:03:28 PM   25    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
10:03:28 PM   26    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
10:03:28 PM   27    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
10:03:28 PM   28    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
10:03:28 PM   29    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
10:03:28 PM   30    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
10:03:28 PM   31    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
10:03:28 PM   32    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
10:03:28 PM   33    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
10:03:28 PM   34    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
10:03:28 PM   35    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
10:03:28 PM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:03:28 PM   37    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
10:03:28 PM   38    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
10:03:28 PM   39    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00

10:03:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:03:29 PM  all    2.31    0.00    3.66    0.00    0.00    1.75    0.00    0.00    0.00   92.27
10:03:29 PM    0    1.01    0.00    4.04    0.00    0.00    3.03    0.00    0.00    0.00   91.92
10:03:29 PM    1    2.11    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   94.74
10:03:29 PM    2    2.04    0.00    4.08    0.00    0.00    2.04    0.00    0.00    0.00   91.84
10:03:29 PM    3    2.08    0.00    3.12    0.00    0.00    1.04    0.00    0.00    0.00   93.75
10:03:29 PM    4    0.00    0.00    1.06    0.00    0.00   11.70    0.00    0.00    0.00   87.23
10:03:29 PM    5    0.98    0.00    2.94    0.00    0.00    5.88    0.00    0.00    0.00   90.20
10:03:29 PM    6    3.03    0.00    7.07    0.00    0.00    2.02    0.00    0.00    0.00   87.88
