Linux 4.4.0-111-generic (ath-1) 	02/22/2018 	_x86_64_	(40 CPU)

08:42:17 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:42:18 AM  all    0.03    0.00    3.63    0.00    0.00    0.00    0.00    0.00    0.00   96.34
08:42:18 AM    0    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:42:18 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:18 AM    2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
08:42:18 AM    3    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
08:42:18 AM    4    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:18 AM    5    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:42:18 AM    6    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   97.03
08:42:18 AM    7    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:18 AM    8    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
08:42:18 AM    9    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
08:42:18 AM   10    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:18 AM   11    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:42:18 AM   12    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:42:18 AM   13    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:18 AM   14    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:42:18 AM   15    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:42:18 AM   16    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:18 AM   17    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:42:18 AM   18    0.99    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   94.06
08:42:18 AM   19    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:18 AM   20    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:18 AM   21    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:18 AM   22    0.00    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   94.06
08:42:18 AM   23    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:18 AM   24    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
08:42:18 AM   25    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:42:18 AM   26    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
08:42:18 AM   27    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:42:18 AM   28    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:18 AM   29    0.00    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   94.06
08:42:18 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:18 AM   31    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:18 AM   32    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
08:42:18 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:18 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:18 AM   35    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:18 AM   36    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
08:42:18 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:18 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:18 AM   39    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97

08:42:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:42:19 AM  all    0.05    0.00    4.01    0.00    0.00    0.00    0.00    0.00    0.00   95.94
08:42:19 AM    0    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:42:19 AM    1    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
08:42:19 AM    2    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
08:42:19 AM    3    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:19 AM    4    0.00    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   94.06
08:42:19 AM    5    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   93.07
08:42:19 AM    6    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:19 AM    7    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:19 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:19 AM    9    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
08:42:19 AM   10    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:19 AM   11    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:42:19 AM   12    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:19 AM   13    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:42:19 AM   14    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
08:42:19 AM   15    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
08:42:19 AM   16    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07
08:42:19 AM   17    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:42:19 AM   18    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:19 AM   19    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:19 AM   20    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
08:42:19 AM   21    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
08:42:19 AM   22    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:19 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:19 AM   24    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:42:19 AM   25    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:42:19 AM   26    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
08:42:19 AM   27    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:42:19 AM   28    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
08:42:19 AM   29    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:42:19 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:19 AM   31    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:19 AM   32    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:42:19 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:19 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:19 AM   35    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:19 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:19 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:19 AM   38    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:42:19 AM   39    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00

08:42:19 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:42:20 AM  all    1.74    0.00    5.20    0.00    0.00    1.19    0.00    0.00    0.00   91.87
08:42:20 AM    0    3.09    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   88.66
08:42:20 AM    1    0.97    0.00    4.85    0.00    0.00    8.74    0.00    0.00    0.00   85.44
08:42:20 AM    2    1.03    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   93.81
08:42:20 AM    3    0.00    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   94.85
08:42:20 AM    4    4.12    0.00    7.22    0.00    0.00    6.19    0.00    0.00    0.00   82.47
08:42:20 AM    5    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
08:42:20 AM    6    3.06    0.00    9.18    0.00    0.00    1.02    0.00    0.00    0.00   86.73
08:42:20 AM    7    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:42:20 AM    8    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
08:42:20 AM    9    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
08:42:20 AM   10    1.01    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   91.92
08:42:20 AM   11    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:42:20 AM   12    0.00    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   93.81
08:42:20 AM   13    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:20 AM   14    2.04    0.00   10.20    0.00    0.00    5.10    0.00    0.00    0.00   82.65
08:42:20 AM   15    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:20 AM   16   13.54    0.00   12.50    0.00    0.00   10.42    0.00    0.00    0.00   63.54
08:42:20 AM   17    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:20 AM   18    5.05    0.00   13.13    0.00    0.00    8.08    0.00    0.00    0.00   73.74
08:42:20 AM   19   28.87    0.00   14.43    1.03    0.00    5.15    0.00    0.00    0.00   50.52
08:42:20 AM   20    2.04    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   93.88
08:42:20 AM   21    1.02    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   94.90
08:42:20 AM   22    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:42:20 AM   23    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
08:42:20 AM   24    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:20 AM   25    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
08:42:20 AM   26    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
08:42:20 AM   27    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
08:42:20 AM   28    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:42:20 AM   29    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:42:20 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:20 AM   31    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
08:42:20 AM   32    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:42:20 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:20 AM   34    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:42:20 AM   35    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:42:20 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:20 AM   37    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
08:42:20 AM   38    1.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
08:42:20 AM   39    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00

