Linux 4.4.0-111-generic (ath-1) 	02/23/2018 	_x86_64_	(40 CPU)

07:55:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:55:29 AM  all    0.23    0.00    5.28    0.00    0.00    0.00    0.00    0.00    0.00   94.49
07:55:29 AM    0    0.00    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   93.88
07:55:29 AM    1    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
07:55:29 AM    2    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:55:29 AM    3    0.99    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   94.06
07:55:29 AM    4    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:55:29 AM    5    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:55:29 AM    6    0.99    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   94.06
07:55:29 AM    7    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   93.07
07:55:29 AM    8    1.98    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   92.08
07:55:29 AM    9    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:55:29 AM   10    2.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
07:55:29 AM   11    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:55:29 AM   12    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   93.07
07:55:29 AM   13    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:55:29 AM   14    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
07:55:29 AM   15    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
07:55:29 AM   16    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:55:29 AM   17    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
07:55:29 AM   18    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:55:29 AM   19    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
07:55:29 AM   20    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   93.07
07:55:29 AM   21    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:55:29 AM   22    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
07:55:29 AM   23    0.00    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   95.05
07:55:29 AM   24    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:55:29 AM   25    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:55:29 AM   26    0.00    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   96.04
07:55:29 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:55:29 AM   28    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:55:29 AM   29    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
07:55:29 AM   30    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
07:55:29 AM   31    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
07:55:29 AM   32    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:55:29 AM   33    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:55:29 AM   34    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:55:29 AM   35    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:55:29 AM   36    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
07:55:29 AM   37    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
07:55:29 AM   38    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
07:55:29 AM   39    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00

07:55:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:55:30 AM  all    1.92    0.00    3.84    0.56    0.00    0.83    0.00    0.00    0.00   92.84
07:55:30 AM    0    2.04    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   92.86
07:55:30 AM    1    1.04    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   96.88
07:55:30 AM    2    1.03    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   95.88
07:55:30 AM    3    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:55:30 AM    4    4.08    0.00    4.08    0.00    0.00    6.12    0.00    0.00    0.00   85.71
07:55:30 AM    5    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:55:30 AM    6    1.04    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   95.83
07:55:30 AM    7    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:55:30 AM    8    1.04    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   96.88
07:55:30 AM    9    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:55:30 AM   10    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:55:30 AM   11    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:55:30 AM   12    1.01    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   92.93
07:55:30 AM   13    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:55:30 AM   14    6.86    0.00    3.92    0.00    0.00    4.90    0.00    0.00    0.00   84.31
07:55:30 AM   15    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
07:55:30 AM   16   10.89    0.00    8.91    0.00    0.00    9.90    0.00    0.00    0.00   70.30
07:55:30 AM   17    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
07:55:30 AM   18    3.03    0.00    7.07    0.00    0.00    7.07    0.00    0.00    0.00   82.83
07:55:30 AM   19   14.43    0.00   11.34   10.31    0.00    0.00    0.00    0.00    0.00   63.92
07:55:30 AM   20    2.02    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:55:30 AM   21   12.00    0.00   12.00   13.00    0.00    2.00    0.00    0.00    0.00   61.00
